,ticker,dividendo,yeld,soma_yield_12m,rentabilidade,setor,valor,liquidezmediadiaria,pvp,p_vpa,ativos,numero_cotista
87,CCRF11,3.5013,0.0,0.0,0.0,Papéis,92.5,1276.82,1.4496,0.9921699023919339,14,8102
88,CCVA11,0.85,0.0,0.47,0.0,Indefinido,98.97,159202.27,0.9672,,1,1
89,CDII11,1.38,1.31,17.46,5.5965,Indefinido,104.63,6004426.57,0.0,,0,0
90,CEOC11,0.43,0.94,13.91,4.8897,Lajes Corporativas,43.07,47622.61,0.6318,0.63180284582661,1,3753
91,CFHI11,26.4663,0.0,21.79,0.0,Fundo de Desenvolvimento,20.1,40.0,0.7562,,4,96
92,CFII11,78.0,0.0,5.19,0.0,Indefinido,768.97,192.0,1.2884,,4,102
93,CIXM11,0.15,0.0,0.0,0.0,Misto,9.04,220499.5,0.2355,,14,108
94,CJCT11,0.24,0.37,3.45,0.0,Lajes Corporativas,64.0,833335.0,0.8678,1.1053216054105492,1,810
95,CLIN11,0.95,1.03,14.52,13.4434,Fundo de Fundos,92.7,911859.22,0.9421,,14,10119
96,CNES11,0.0229,1.44,7.4,-10.7471,Lajes Corporativas,1.58,178082.0,0.2469,0.24458204334365327,1,79209
97,COPP11,0.75,0.0,0.0,0.0,Lajes Corporativas,103.0,1827632.0,0.9685,,4,118
98,CORM11,0.77,0.9006,11.3823,-4.2658,Lajes Corporativas,0.0,,0.0,,0,0
99,CPFO11,31.4246,0.0,0.0,0.0,Fundo de Fundos,0.0,,0.0,,14,8102
100,CPLG11,0.13,1.08,12.35,2.6027,Misto,12.11,144622.57,1.1297,,2,1821
101,CPOF11,0.43,0.39,2.42,0.0,Misto,104.0,726165.14,0.9779,,4,118
102,CPSH11,0.11,1.04,13.51,2.9163,Indefinido,10.6,3331072.87,0.9331,,8,31442
103,CPTA11,0.025,0.0,0.0,0.0,Fiagro,0.0,,0.0,,0,1102
104,CPTI11,1.15,1.28,15.4,16.9336,Indefinido,88.37,2195013.13,0.0,,0,0
105,CPTR11,0.115,1.33,18.1,24.385,Indefinido,8.57,225852.3,0.8536,0.8535856573705181,0,21447
106,CPTS11,0.09,1.1,14.86,14.682,Papéis,8.02,5183976.91,0.8736,0.8736383442265795,14,366303
107,CPUR11,0.1,0.96,11.1,4.9869,Misto,10.34,1859264.22,1.0616,,15,1658
108,CRAA11,1.25,1.18,16.31,19.0756,Indefinido,103.58,649923.04,1.019,1.0189867191342843,0,11031
109,CRFF11,0.65,0.81,10.34,14.0276,Fundo de Fundos,78.01,17530.18,0.8923,0.8922566624728354,14,1169
110,CSMC11,8.1959,0.0,0.0,0.0,Indefinido,0.0,,0.0,,11,1
111,CTXT11,0.01,0.04,0.0,-25.9565,Lajes Corporativas,5.44,560.78,0.3067,0.11255669215744696,1,2203
112,CVPR11,0.845,0.0,0.0,0.0,Indefinido,0.0,,0.0,,14,3
113,CXAG11,0.72,0.91,12.7,10.1602,Agências de Bancos,77.0,205136.91,0.6964,0.6963914262458172,31,11511
114,CXCE11,0.4772,1.11,14.32,14.3494,Lajes Corporativas,42.38,12836.43,0.6725,,1,2906
115,CXCE11B,0.4293,1.09,12.24,3.726,Lajes Corporativas,44.01,9205.0,0.5962,0.6820083682008368,1,3247
116,CXCI11,0.75,1.02,14.43,11.8716,Indefinido,74.43,87866.43,0.8457,0.8456993523463243,14,5435
117,CXCO11,0.75,1.05,14.86,15.1945,Lajes Corporativas,72.17,102268.17,0.7559,0.7558651026392962,10,12225
118,CXRI11,0.63,0.92,11.56,14.9882,Fundo de Fundos,66.85,91106.83,0.7591,0.759141494435612,1,1752
119,CXTL11,0.9258,0.27,4.39,0.1304,Imóveis Industriais e Logísticos,341.07,2506.84,0.8216,0.8215782627547333,1,579
